ownerUsername,caption,hashtags,likesCount,commentsCount,timestamp
thepeninsulatokyo,"オリジナルのストップモーション・アニメーション動画「“P”の大作戦！」💫。

本動画は、キャラクターを少しずつ動かしながら撮影した写真を繋ぎ合わせ、あたかも動いているように見せるストップモーション技法を用いていますが、1秒間の映像に約何枚の写真が使われているかご存知ですか？
 
実は１秒間におよそ12～24 枚の写真を繋げ、わずか 3 秒のシーンにも 3～4 時間をかけて撮影しています。手作業で生み出された表情豊かなキャラクターや、細部にまでこだわった小道具とともに、「心が動き出す瞬間」が詰まった作品に仕上がりました。愛らしいキャラクターたちが贈る、この季節ならではの笑顔と 感動が皆さまに届きます ように💛

Step behind the scenes of “Operation P!” 💫
Have you ever wondered what it takes to make a tiny bear move on screen?

Created using traditional stop-motion techniques, every second of “Operation P!” is made from 12 to 24 individual photographs, with each scene taking hours of delicate work to create the magical world you see on screen.

We hope Pen Bear, Toy Doctor Bear, and their delightful world bring a touch of seasonal warmth and a smile to your day. 💛",,1065,7,2025-12-23T09:56:25.000Z
thepeninsulatokyo,"クリスマスイブの夜✨
どうぞ、心穏やかなフェスティブのひとときをお過ごしください。

Christmas Eve at The Peninsula Tokyo🎄
With warm holiday wishes, thank you for sharing this festive season with us.",ペニンシュラ東京 ラグジュアリー ホテル クリスマス クリスマスイブ フェスティブ ホリデイ 冬休み thepeninsulato luxuryhotel festive Christmas festiveseason winter happyholiday,616,8,2025-12-24T10:16:16.000Z
aman_tokyo,"Wishing you a day filled with heartwarming moments, shared with the people who mean the most.

大切な方々とご一緒に、心あたたまる素敵な一日となりますように。

#AmanTokyo #Christmas #アマン東京 #クリスマス",AmanTokyo Christmas アマン東京 クリスマス,3009,9,2025-12-25T10:00:52.000Z
aman_tokyo,"Happy New Year from Aman Tokyo. May the happiness that arrives in 2026 travel with you for many years to come.

新年あけましておめでとうございます。
2026年、皆さまにもたらされる幸せが末永く長く続きますよう願っております。

#AmanTokyo #2026 #NewYearsDay #NewYear #アマン東京 #2026年 #元旦 #新年",AmanTokyo 2026 NewYearsDay NewYear アマン東京 2026年 元旦 新年,1371,2,2026-01-01T00:00:20.000Z
thepeninsulatokyo,"家族とお部屋で過ごす、かけがえのない時間。
くつろぎと優雅さが調和する、ペニンシュラならではのひとときを。

A gentle pause in the day.
An unhurried moment, shared in the quiet comfort of your room.

📷: @keikeitravels",ペニンシュラ東京 ラグジュアリー ホテル ペニンシュラ リラックス ホテルステイ thepeninsulatokyo luxuryhotel hotelstay penmoments,298,2,2026-01-07T10:05:05.000Z
ritzcarlton,Rediscover @ritzcarltonkeybiscayne—your new year beachside escape awaits.,,637,18,2026-01-07T20:41:44.000Z
thepeninsulatokyo,"新年あけましておめでとうございます🎍。
旧年中はザ・ペニンシュラ東京をご愛顧いだきまして誠にありがとうございました。
本年もどうぞよろしくお願いいたします。

ここでしか味わえない特別なご体験となりますよう、ペニンシュラ・ホスピタリティとともに、心を込めて皆さまをお迎えいたします。

Here’s to 2026. A new year begins. 🎍

From all of us at The Peninsula Tokyo, we wish you a year of warmth, care, and moments worth remembering. Happy New Year!",,518,3,2025-12-31T23:46:12.000Z
ritzcarlton,"Ready to find our inner peace with @latecheckout.issalifestyle and @jhutch1992. 

Late Checkout: A Ritz-Carlton Story Chapter II arrives on November 18.",,59858,366,2025-11-16T15:22:56.000Z
thepeninsulatokyo,"メリークリスマス！
ザ・ペニンシュラ東京より、皆さまに温もりあふれるクリスマスをお届けいたします🎄

From our family at The Peninsula to yours, we send our warmest holiday wishes. May your celebrations be filled with joy, magic, and a touch of festive wonder.",ペニンシュラ東京 ラグジュアリー ホテル クリスマス クリスマスイブ フェスティブ ホリデイ 冬休み ThePeninsulaHotels PenMoments FestiveWishes HolidaySpirit,237,3,2025-12-25T01:10:37.000Z
thepeninsulatokyo,"丁寧に仕上げたスイーツとセイボリーで、旬の苺の魅力を存分に楽しむ「ザ・ロビー」でのストロベリーアフタヌーンティー🍓

The season’s finest strawberries🍓, artfully served on our iconic birdcage stand.
An elegant afternoon tea awaits.",ペニンシュラ東京 ラグジュアリー ホテル ザロビー 苺 ストロベリー アフタヌーンティー いちご スイーツ thepeninsulatokyo luxuryhotel afternoontea strawberry japanesestrawberry TokyoLuxury,545,6,2026-01-05T10:26:14.000Z
thepeninsulatokyo,"本年も残すところあとわずかとなりました。
本年中、ザ・ペニンシュラ東京をご愛顧いただいた皆さまに心より感謝いたします。
2026年も、よりよい一年となりますよう心よりお祈り申し上げます。

どうぞ、良いお年をお迎えください✨

As we count down to the New Year, thank you for celebrating with us.

Wishing you a joyful New Year’s Eve and a year ahead filled with beautiful moments. ✨🥂",ペニンシュラ東京 ラグジュアリー ホテル 新年 2026 年越し thepeninsulatokyo luxuryhotel happynewyear newyearseve,329,8,2025-12-31T09:57:15.000Z
ritzcarlton,"Pause. Take a breath…

Then immerse yourself in our newest film from @ritzcarlton and @latecheckout.issalifestyle, featuring @jhutch1992 as he discovers the art of slowing down in Japan. 

Late Checkout: A Ritz-Carlton Story Chapter II collection available now.",,39674,559,2025-11-18T15:04:15.000Z
thepeninsulatokyo,"言葉を超えて伝わる、ザ・ペニンシュラならではの温かなサービス。

洗練された空間と、窓の向こうに広がる東京の景色とともに、上質な寛ぎのひとときを。

A room prepared with care, a city view to enjoy, and a stay shaped by comfort, moments like these define the Peninsula experience.",ペニンシュラ東京 ラグジュアリー ホテル ペニンシュラ リラックス ホテルステイ thepeninsulatokyo luxuryhotel hotelstay,268,4,2026-01-03T02:24:16.000Z
thepeninsulatokyo,"お部屋でゆったりと楽しむ朝食とともに、洗練された一日のスタートを。 
 
Enjoy a slower start to the day with a morning thoughtfully prepared the Peninsula way.",,350,0,2025-12-28T00:50:00.000Z
aman_tokyo,"A festive twist on classic French flavours, the Forêt Desserts at The Café by Aman have been reimagined for the season. Enjoyed amidst the flourishing beauty of the Otemachi forest, they promise a shining taste of year-end enchantment. Available until 25 December. 

クラシックなフランス菓子やグラスデザート、セイボリーがセットになった季節のデザートセット「フォレ デセール」が、可愛らしいクリスマスの装いで登場いたしました。大手町の森に囲まれたザ・カフェ by アマンにて、甘く華やかなホリデーシーズンを彩る特別なひとときをお届けします。12月25日（木）までの期間限定です。

#AmanTokyo #TheCafébyAman #アマン東京 #ザカフェbyアマン #クリスマス",AmanTokyo TheCafébyAman アマン東京 ザカフェbyアマン クリスマス,2249,6,2025-11-17T08:00:19.000Z
ritzcarlton,NYC launch day with @latecheckout.issalifestyle — sharing the new collection with the ultimate pop-up experience at @7springnyc.,,800,0,2025-11-21T21:53:17.000Z
thepeninsulatokyo,"中国料理「ヘイフンテラス」では、2025年12月31日（水）－ 2026年1月5日（月）の期間、年末年始限定のランチ＆ディナーコースをご用意いたします。

伝統的な広東料理の技が息づく、滋味深い味わいをお楽しみください。詳細、ご予約はプロフィールのリンクより承ります。

Welcome the New Year at Hei Fung Terrace. 

A classical Chinese garden-inspired space hosts an intimate celebration, with a special menu from 31 December to 5 January.",ペニンシュラ東京 ラグジュアリー ホテル ダイニング ヘイフンテラス 新年 newyear thepeninsulatokyo Heifungterrace finedining,288,4,2025-12-30T10:44:18.000Z
aman_tokyo,"As 2025 draws to a close, we want to thank you all for being part of Aman Tokyo’s journey this year. We wish you a wonderful New Year, and hope that 2026 brings you boundless peace and joy. 

本年もアマン東京をご愛顧いただき、誠にありがとうございました。
2026年も皆さまにとって朗らかで歓びにあふれた一年となりますよう、心よりお祈り申し上げます。
どうぞ良い新年をお迎えくださいませ。

#AmanTokyo #アマン東京",AmanTokyo アマン東京,1437,2,2025-12-31T11:00:15.000Z
ritzcarlton,"A collection designed for every destination.

Introducing our newest capsule collection with @latecheckout.issalifestyle. Available now on The Ritz-Carlton Shop.",,20750,243,2025-11-19T15:17:39.000Z
ritzcarlton,"Discover the art of travel and an iconic resort reimagined with @tumitravel and @ritzcarltonkeybiscayne. 

Debuting in New York, custom @ritzcarlton TUMI luggage pieces with designs by @louisnicolasdarbon are headed to Miami in December, to celebrate the grand reopening of The Ritz-Carlton Key Biscayne, Miami and the boundless creativity of Miami art week.",,830,294,2025-11-06T17:03:03.000Z
ritzcarlton,"From NYC streets to our pop-up—come see the new capsule collection with @Latecheckout.issalifestyle.  

Stop by tomorrow, November 20 from 10am-4pm at 7 Spring St.",,2505,156,2025-11-19T23:15:49.000Z
ritzcarlton,"Making our mark. 
 
The telltale signs of remarkable stays. A story of travel with The Ritz-Carlton told through the lion and crown and our signature blue, captured in the smallest details. 

Collected from experiences around the world and at sea, The Ritz-Carlton leaves a lasting impression. The lion and crown is our calling card and reflects our enduring legacy. How will a stay leave you?",,6668,179,2025-11-14T15:03:44.000Z
aman_tokyo,"Shadows dance as the sun sets, and the shifting patterns of the latticework create an evolving space in the Garden Lounge. 

ガーデンラウンジの格子の隙間から差し込む夕日が、壁に落ちる影をゆっくりと移ろわせていきます。

#AmanTokyo #GardenLounge #アマン東京 #ガーデンラウンジ",AmanTokyo GardenLounge アマン東京 ガーデンラウンジ,1730,4,2025-12-13T12:00:25.000Z
aman_tokyo,"A world beyond, floating above the city. Warm dusk light settles across the mirror-calm waters of the Aman Tokyo pool, inviting a moment of reflection as time stands still. 

夕暮れ時にプールに映り込む黄昏色の空が、幻想的な美しさを描き出します。静寂に包まれた空間で、一日の疲れをそっと癒してみてはいかがでしょうか。

#AmanTokyo #Pool #アマン東京 #プール

Captured by @renee_kemps",AmanTokyo Pool アマン東京 プール,1055,10,2025-09-30T11:00:15.000Z
aman,"@aman_tokyo slips into to the gentle tempo of autumn, a season of sanctuary, inviting days of restoration and relaxation beneath the gilded sky.

Discover Aman Tokyo, Japan",,6391,30,2025-11-18T09:31:12.000Z
ritzcarlton,"Demonstrations of exceptional service—Wow moments—are part of how The Ritz-Carlton leaves guests better than they arrived. Here is one of our favorites from @ritzcarltonshanghai: 

A passport left in Beijing was nearly a catastrophe, until Jerry from The Ritz-Carlton Shanghai, Pudong flew from Shanghai to get it back—returning just in time for a guest’s departure. 15+ hours, two cities, one mission, and a story that will never be forgotten.",,15046,281,2025-11-10T14:10:14.000Z
aman_tokyo,"Festive flavours, elevated in the city. Enjoy the Christmas Afternoon Tea at The Lounge by Aman, available from Monday 17 November, with highlights including chocolate mousse Santa Claus ornaments and snowflake champagne macarons. 

ザ・ラウンジ by アマンでは、11月17日（月）より「クリスマス アフタヌーンティー」を期間限定でご提供いたします。サンタクロースのオーナメントを模したチョコレートムースや、雪の結晶をイメージしたシャンパーニュのマカロンなど、愛らしいスイーツが並びます。
澄み渡る都会の景色を眺めながら、心あたたまるクリスマスシーズンをお過ごしください。

#AmanTokyo #AfternoonTea #アマン東京 #アフタヌーンティー #クリスマス",AmanTokyo AfternoonTea アマン東京 アフタヌーンティー クリスマス,1466,1,2025-11-14T12:00:20.000Z
aman_tokyo,"Embrace a new tradition and be welcomed into the New Year with a delicate tapestry of flavours. Artfully curated by Musashi Hiroyuki, Musashi by Aman offers an exclusive New Year’s menu, presented in ceramic bowls crafted by the chef himself. 

この度アマン東京では、江戸前鮨「武蔵 by アマン」の親方 武蔵弘幸による御節料理を、数量限定でご用意いたしました。親方自らが厳選した食材と、自家製の味噌や醤油を使用した彩り豊かな逸品の数々を、自身が手がけた陶器の小鉢へ美しく盛り付け、こだわりの重詰に仕上げました。
2026年が皆さまにとって素晴らしい一年となりますよう願いを込めた「武蔵 by アマン」ならではの御節料理を、ぜひご家族やご友人とともにご堪能ください。

#AmanTokyo #MusashibyAman #NewYear #アマン東京 #武蔵byアマン #御節",AmanTokyo MusashibyAman NewYear アマン東京 武蔵byアマン 御節,697,4,2025-10-27T11:00:28.000Z
ritzcarlton,"Special delivery. 

@jhutch1992 gets his signature set for a little on-location zen at @ritzcarltonnikko.",,3328,70,2025-11-20T16:30:09.000Z
ritzcarlton,It’s the details that leave the greatest impression—crafted to perfection at @theritzcarltonbangkok.,,1248,578,2025-11-12T22:24:19.000Z
aman_tokyo,"A place of peace, rooted in tradition. Aman Tokyo’s design is inspired by classic Japanese homes, inviting the season’s soft natural light to illuminate the details of the Garden Lounge. 

アマン東京の建築デザインは、日本の伝統家屋からインスピレーションを得ています。33階のガーデンラウンジには、窓から柔らかな自然光が降り注ぎ、自然を愛で、光や空気を通して季節の移ろいを感じながら過ごす、日本人のライフスタイルが反映されています。

#AmanTokyo #GardenLounge #アマン東京 #ガーデンラウンジ

Captured by @benrich__",AmanTokyo GardenLounge アマン東京 ガーデンラウンジ,2175,13,2025-10-09T04:54:05.000Z
thepeninsulatokyo,"窓一面に広がる東京の夜景を望む「Peter」で、バレンタインの夜だけにご用意する特別なディナーを。洗練されたモダンフレンチとともに、心に残るひとときをお楽しみください。

ご予約はプロフィールのリンクより承ります。
 
A Valentine’s evening at Peter.
A Modern French dining experience, with two course menus thoughtfully designed to complement one another—set against Tokyo’s nightscape from the 24th floor.

Reserve your experience via the link in our bio.",,211,1,2026-01-09T11:08:06.000Z
aman_tokyo,"A spirit of escapism floats above the city. Suites at Aman Tokyo are crafted with traditional natural materials, including wood, washi paper and stone, creating a place of peace overlooking the pulse of Tokyo. 

アマン東京のスイートルームは、木材、和紙、石材など、日本の伝統的な自然素材を用いた、心安らぐ空間が広がっています。都会の喧騒を離れ、窓の外に広がる東京の美しい景色とともに、非日常のひとときをご堪能ください。

#AmanTokyo #アマン東京 

Captured by @benrich__",AmanTokyo アマン東京,869,6,2025-10-17T09:00:15.000Z
aman_tokyo,"Be swept up in a fresh taste of the winter season. Available until 25 December, the Christmas Parfait at The Lounge by Aman is layered with seasonal fruits like pear and lychee, and drizzled with yuzu and champagne sauce. 

ザ・ラウンジ by アマンでは、12月25日までの期間限定で、ホワイトクリスマスをイメージした「クリスマス パルフェ」をご提供しています。洋梨やライチ、ラ フランスなど季節のフルーツを重ね合わせた爽やかなパルフェは、スプーンですくうごとに異なるフレーバーをお楽しみいただけます。別添えのゆずとシャンパンソースとともに、味わいと香りの変化もお愉しみください。

#AmanTokyo #TheLoungebyAman #アマン東京 #ザラウンジbyアマン #イブニングパルフェ #クリスマス",AmanTokyo TheLoungebyAman アマン東京 ザラウンジbyアマン イブニングパルフェ クリスマス,1818,7,2025-11-24T11:00:27.000Z
aman_tokyo,"Radiance found at new heights. The Red Carpet Facial from Aman Tokyo’s new spa treatment menu uses state-of-the-art technology to perform four treatments in one, bringing exceptional clarity to the complexion in a few short moments. 

34階の「アマン・スパ」にて、新トリートメントメニュー『アマン東京 レッドカーペット フェイシャル』が受けられます。1台で4つのトリートメントができる最新鋭マシンを、ホテルとして初導入いたしました。短時間で透明感と輝きを引き出す特別なメニューを、大切な日の前にぜひご体験ください。

#AmanTokyo #AmanSpa #アマン東京 #アマンスパ #トリートメント #フェイシャル",AmanTokyo AmanSpa アマン東京 アマンスパ トリートメント フェイシャル,234,0,2025-12-05T12:00:15.000Z
